old_issue_id,new_customer_question_id,issue_name
15561,930,UPDATED,"Расположение оборудования в помещении АДГ"
11194,932,UPDATED,"Приварное насыщение цистерн"
11800,933,UPDATED,"Система охлаждения забортной водой"
9863,935,UPDATED,"03070-100-0004"
10261,936,UPDATED,"-Замена вент. головок на вент. решетки с крышками на рулевой рубке."
11591,937,UPDATED,"Не соответствия чертежа с рабочем."
10309,938,UPDATED,"Разработать чертеж под ( сборку и  монтаж ) расширительной цистерны ГД V=700л."
10277,939,UPDATED,"Трубопровод выдачи, замена диаметра трубопровода."
10293,940,UPDATED,"Чертежи МСЧ (""обезличка"")"
9859,941,UPDATED,"0370-880-1001"
15452,942,UPDATED,"-оборудование в помещениях"
14507,943,UPDATED,"-Узел сварки фундаментов осевых вентиляторов."
9875,944,UPDATED,"пом.318(АДГ)"
10230,945,UPDATED,"Проверка и согласование в РС"
10150,946,UPDATED,"-Система гидравлики."
14216,948,UPDATED,"Маркировка кабеля"
12482,949,UPDATED,"-Актуален данный чертеж"
11149,950,UPDATED,"Демонтаж баллера пера руля"
17626,951,UPDATED,"Расстояние между глушителем ВДГ и шахтой ВДГ в помещении шахта МО."
10162,952,UPDATED,"корректировка чертежа для сдачи работ"
9948,953,UPDATED,"-толщина зашивки ВГН дверей"
14498,954,UPDATED,"Исключение клапана AMOT из системы охлаждения аммиачной установки"
11766,955,UPDATED,"При монтаже фундамента столкнулись с проблемой ."
11210,958,UPDATED,"Обезличенные чертежи (изд.МСЧ)."
10104,960,UPDATED,"Трансформатор ТСЗМ-160 в Электрощитовая 2(п.416)"
14255,961,UPDATED,"Документы на заделку"
9864,962,UPDATED,"03070-880-1002"
10031,963,UPDATED,"КР № 5395 от 21.07.2021"
12213,964,UPDATED,"Подкрепления фундамента под трансформатор"
9866,966,UPDATED,"03070-880-1002"
11179,967,UPDATED,"кантовка"
16053,969,UPDATED,"Фундамент под баллоны аммиака 40- 150У на траловой палубе в р-не ЗЗ...35шп, ПрБ_411-413"
11191,970,UPDATED,""
11526,971,UPDATED,"-КР вентиляция"
15925,972,UPDATED,"-Приварное насыщение цистерн под испытания на непроницаемость."
9964,973,UPDATED,"Зашивка/изоляция успокоительной цистерны."
14461,974,UPDATED,"- Трап аварийного выхода с рыбофабрики"
11086,975,UPDATED,"-Монтаж ГРЩ 220В"
